nombre_cientifico,es_floral
Lagerstroemia indica,si
Fraxinus excelsior,no
Platanus x acerifolia,no
Fraxinus pennsylvanica,no
Ficus benjamina,no
Fraxinus americana,no
Tilia cordata,si
Tilia x moltkei,si
Ligustrum lucidum,si
Tipuana tipu,si
Liquidambar styraciflua,no
Syagrus romanzoffiana,no
No identificado,si
Bauhinia variegata,si
Handroanthus impetiginosus,si
Ulmus procera,no
Styphnolobium japonicum,no
Melia azedarach,si
Photinia x fraseri,si
Acer negundo,no
Acacia visco,no
Populus deltoides,no
Albizia julibrissin,si
Gardenia thunbergia,si
Acer saccharinum,no
Robinia pseudoacacia,si
Ligustrum lucidum f. aureovariegata,no
Enterolobium contortisiliquum,no
Ailanthus altissima,no
Schefflera arboricola,no
Photinia serrulata,si